熟女,熟女,shúnǚ,stylish mature woman,,
刻薄,刻薄,kèbó,unkind; harsh; mean,,
浴巾,浴巾,yùjīn,bath towel,,
笨手笨脚,笨手笨腳,bènshǒu bènjiǎo,clumsy; awkward,,
邠,邠,Bīn,Bin (ancient place name),,
可不,可不,kěbù,exactly; right,,
真,真,zhēn,true; real,,
送给,送給,sònggěi,give as a present; send to,,
逼,逼,bī,force; compel,,
教育,教育,jiàoyù,education,,
教导,教導,jiàodǎo,instruct; teach,,
不得了,不得了,bùdéliǎo,terrible; extremely; amazing,,
色魔,色魔,sèmó,sex fiend; pervert,,
图,圖,tú,picture; map; plan,,
企图,企圖,qǐtú,attempt; try; intend,,
尝试,嘗試,chángshì,try; attempt,,
啊,啊,a,particle/exclamation,,
豆豉,豆豉,dòuchǐ,fermented black beans,,
豆瓣酱,豆瓣醬,dòubànjiàng,doubanjiang; chili bean paste,,
炒蛋,炒蛋,chǎodàn,scrambled eggs,,
损,損,sǔn,decrease; damage,,
免费,免費,miǎnfèi,free of charge,,
咏,詠,yǒng,chant; eulogize,,
电荷,電荷,diànhè,electric charge,,
才,才,cái,talent; only then,,
彭丽媛,彭麗媛,Péng Lìyuán,Peng Liyuan,,
沉鱼落雁,沉魚落雁,chén yú luò yàn,beauty that sinks fish and makes birds fall,,
醉翁之意不在酒,醉翁之意不在酒,zuìwēng zhī yì bù zài jiǔ,the real intention is not in the wine,,
四季豆,四季豆,sìjìdòu,green bean; string bean,,
周游,周遊,zhōuyóu,travel around,,
游泳,游泳,yóuyǒng,swim; swimming,,
波霸,波霸,bōbà,big boobs (slang),,
胸大无脑,胸大無腦,xiōng dà wú nǎo,bimbo (lit. big chest no brains),,
枕头,枕頭,zhěntou,pillow,,
琢,琢,zhuó,carve; polish (jade),,
想象,想像,xiǎngxiàng,imagination; imagine,,
义,義,Yì,surname Yi; righteousness,,
控,控,kòng,control; accuse,,
屌丝,屌絲,diǎosī,loser (internet slang),,
吃饱了撑的,吃飽了撐的,chī bǎo le chēng de,have nothing better to do (lit. stuffed from eating),,
吃饱了饭撑的,吃飽了飯撐的,chī bǎo le fàn chēng de,have nothing better to do,,
完,完,wán,finished; intact,,
星巴克,星巴克,Xīngbākè,Starbucks,,
高考,高考,gāokǎo,national college entrance exam,,
