晚安,晚安,wǎn'ān,good night,,
我也是,我也是,wǒ yě shì,me too; so am I,,
妈妈,媽媽,māma,mom; mother,,
过来,過來,guòlái,come over; come here,,
快,快,kuài,fast; hurry,,
谢谢,謝謝,xièxie,thanks; thank you,,
我爱你,我愛你,wǒ ài nǐ,I love you,,
走,走,zǒu,go; leave; walk,,
闭嘴,閉嘴,bìzuǐ,shut up,,
妈的,媽的,mā de,damn; f*ck (expletive),,
真的吗,真的嗎,zhēn de ma,really?; is that true?,,
谢谢,謝謝,xièxie,thanks; thank you,,
没问题,沒問題,méi wèntí,no problem,,
好吧,好吧,hǎo ba,fine; okay then,,
没关系,沒關係,méi guānxi,it's okay; no problem,,
好啊,好啊,hǎo a,sure!; okay!,,
哇,哇,wā,wow,,
嗯,嗯,èn,huh?; hmm?,,
没什么,沒什麼,méi shénme,it's nothing; never mind,,
来,來,lái,come,,
所以,所以,suǒyǐ,so; therefore,,
好,好,hǎo,good; OK,,
啊,啊,a,ah!; oh! (particle),,
不好意思,不好意思,bù hǎoyìsi,sorry; excuse me,,
你,你,nǐ,you,,
快走,快走,kuài zǒu,hurry up and go; move it,,
那么,那麼,nàme,then; in that case,,
这是什么,這是什麼,zhè shì shénme,what is this?,,
什么事,什麼事,shénme shì,what's the matter?,,
你说什么,你說什麼,nǐ shuō shénme,what did you say?,,
来吧,來吧,lái ba,come on,,
你没事吧,你沒事吧,nǐ méi shì ba,are you okay?,,
怎么回事,怎麼回事,zěnme huí shì,what's going on?,,
哦,哦,ó,oh!,,
天哪,天哪,tiān na,oh my God; gosh,,
拜托,拜託,bàituō,please; come on (I beg you),,
谁,誰,shéi,who?,,
听着,聽著,tīngzhe,listen; listen up,,
那个,那個,nàge,that...; um...,,
现在,現在,xiànzài,now,,
太棒了,太棒了,tài bàng le,awesome; great,,
早上好,早上好,zǎoshang hǎo,good morning,,
喔,喔,ō,oh (particle),,
什么,什麼,shénme,what?,,
我们走,我們走,wǒmen zǒu,let's go,,
你知道吗,你知道嗎,nǐ zhīdào ma,do you know?; you know?,,
我不知道,我不知道,wǒ bù zhīdào,I don't know,,
小心,小心,xiǎoxīn,be careful,,
有,有,yǒu,to have; there is/are,,
那是什么,那是什麼,nà shì shénme,what's that?,,
