Chinese,Pinyin,English
小学,xiǎoxué,primary school
得,dé,get; obtain; win
世界,shìjiè,world
地图,dìtú,map; plat; atlas
轮,lún,take turns
烧,shāo,boil; burn
洗澡,xǐzǎo,have a bath
围,wéi,wrap; swathe
浴巾,yùjīn,bath towel
浴室,yùshì,bathroom
冲,chōng,rush
叫,jiào,shout; cry
干,gàn,do; work
火,huǒ,fire
灭,miè,(of a light, fire, etc.) go out
讨厌,tǎoyàn,dislike
小声,xiǎoshēng,in a low voice
巴掌,bāzhang,palm; slap
一辈子,yíbèizi,all one's life; throughout one's life
了,liǎo,used after a verb with 得/不 to express possibility or impossibility
敢,gǎn,dare
继续,jìxù,continue; go on
明信片,míngxìnpiàn,postcard; lettercard
面前,miànqián,in front of
金字塔,jīnzìtǎ,pyramid
记得,jìde,remember
小时候,xiǎoshíhou,childhood
灵,líng,effective
小子,xiǎozi,boy; chap; guy
埃及,Āijí,Egypt
