Chinese,Pinyin,English
旧梦,jiùmèng,old dream; past experience
闭,bì,shut; close
往事,wǎngshì,bygones; past events
进入,jìnrù,enter; get into
梦,mèng,dream
一生,yìshēng,all one's life; a lifetime
中,zhōng,in
难忘,nánwàng,unforgettable; memorable
老年,lǎonián,old age
忘记,wàngjì,forget
同事,tóngshì,colleague
有时,yǒushí,sometimes
出现,chūxiàn,appear
比,bǐ,than; (superior or inferior) to
矮,ǎi,short (of stature)
双,shuāng,pair
年级,niánjí,grade; year (in school, etc.)
年龄,niánlíng,age (of a person, animal or plant, etc.)
马路,mǎlù,road; street
领,lǐng,lead; usher; take
照顾,zhàogù,take care of; look after
拉（手）,lā (shǒu),hold (hands)
使劲儿,shǐ jìnr,exert oneself (physically)
亲,qīn,kiss
告别,gàobié,say goodbye to; part from
飞吻,fēiwěn,kiss one's hand to; blow a kiss
刚刚,gānggāng,just; no more than
爱情,àiqíng,love (between a man and a woman)
并,bìng,used before a negative for emphasis, usu. as a retort
初恋,chūliàn,first love
活,huó,live; be alive
打听,dǎtīng,ask about; inquire about
消息,xiāoxi,news; information
广东话,Guǎngdōnghuà,Cantonese; a Chinese dialect
