得,得,de,structural particle used after verbs to indicate result or degree,,
早,早,zǎo,early,,
银行,銀行,yínháng,bank,,
少,少,shǎo,few; little,,
排队,排隊,páiduì,to form a line; to queue up,,
排,排,pái,to arrange; to put in order,,
队,隊,duì,a row of people; line,,
换,換,huàn,to exchange; to change,,
英镑,英鎊,yīngbàng,pound sterling,,
人民币,人民幣,rénmínbì,Renminbi; Chinese currency,,
人民,人民,rénmín,people,,
得,得,děi,to need; must; to have to,,
用,用,yòng,to use,,
刚,剛,gāng,just; only a short while ago,,
从,從,cóng,from,,
非常,非常,fēicháng,very; extremely,,
次,次,cì,measure word for actions; time,,
参观,參觀,cānguān,to visit (a place),,
兵马俑,兵馬俑,bīngmǎyǒng,Terracotta Warriors,,
兵,兵,bīng,soldier; fighter,,
明信片,明信片,míngxìnpiàn,postcard,,
信,信,xìn,letter,,
该,該,gāi,to be one’s turn to do something; ought to,,
工作人员,工作人員,gōngzuò rényuán,working personnel; staff member,,
人员,人員,rényuán,personnel; staff,,
千,千,qiān,thousand,,
数,數,shǔ,to count,,
王府井,王府井,Wángfǔjǐng,Wangfujing commercial district in Beijing,,
西安,西安,Xī’ān,Xi’an city; capital of Shaanxi Province,,
