我保证,我保證,wǒ bǎozhèng,I promise,,
很抱歉,很抱歉,hěn bàoqiàn,I'm sorry,,
是谁,是誰,shì shéi?,Who is it?,,
来啊,來啊,lái a,Come on,,
妈妈,媽媽,māma!,Mom!,,
退后,退後,tuì hòu,Back up,,
谢谢,謝謝,xièxie!,Thanks!,,
是吗,是嗎,shì ma,Is that so?,,
明白了,明白了,míngbái le,Got it,,
我也爱你,我也愛你,wǒ yě ài nǐ,I love you too,,
你确定,你確定,nǐ quèdìng?,Are you sure?,,
但,但,dàn...,But...,,
是吧,是吧,shì ba,Right?,,
对,對,duì!,Right!,,
嗨,嗨,hāi.,Hi.,,
说吧,說吧,shuō ba,Go ahead (speak),,
是啊,是啊,shì a!,Yeah!,,
让我看看,讓我看看,ràng wǒ kàn kàn,Let me see,,
耶,耶,yé!,Yay!,,
你也是,你也是,nǐ yě shì,You too,,
好啦,好啦,hǎo la,Alright then,,
上帝啊,上帝啊,shàngdì a,Oh God,,
他死了,他死了,tā sǐ le,He's dead,,
你是,你是,nǐ shì...,You are...,,
有人吗,有人嗎,yǒu rén ma,Anyone there?,,
天呐,天哪,tiān na,Gosh,,
当然,當然,dāngrán,Of course,,
是什么,是什麼,shì shénme?,What is it?,,
拿着,拿著,názhe,Take it; hold it,,
这样啊,這樣啊,zhèyàng a,I see,,
快跑,快跑,kuài pǎo!,Run!,,
啥,啥,shá?,What?,,
他妈的,他媽的,tā mā de!,Damn it!,,
三,三,sān,Three,,
你怎么知道,你怎麼知道,nǐ zěnme zhīdao?,How do you know?,,
是,是,shì!,Yes!,,
为什么,為什麼,wèishénme?,Why?,,
上帝,上帝,shàngdì,God,,
糟了,糟了,zāo le,Oh no,,
你知道的,你知道的,nǐ zhīdao de,You know,,
也许吧,也許吧,yěxǔ ba,Maybe,,
为什么,為什麼,wèishénme,Why,,
恭喜,恭喜,gōngxǐ,Congrats,,
发生了什么事,發生了什麼事,fāshēng le shénme shì?,What happened?,,
也许,也許,yěxǔ,Maybe,,
我回来了,我回來了,wǒ huílái le,I'm back,,
小姐,小姐,xiǎojiě,Miss; young lady,,
没事吧,沒事吧,méi shì ba,Are you okay?,,
您好,您好,nín hǎo,Hello (polite),,
而且,而且,érqiě...,And also...,,
