是么,是麼,shì me,Is that so?,,
又来了,又來了,yòu lái le,Here we go again,,
有意思,有意思,yǒu yìsi,Interesting,,
老爸,老爸,lǎobà,Dad,,
今天,今天,jīntiān,Today,,
如果,如果,rúguǒ...,If...,,
是他,是他,shì tā,It’s him,,
老公,老公,lǎogōng,Husband,,
出发,出發,chūfā,Set off; depart,,
为什么不呢,為什麼不呢,wèishénme bù ne,Why not?,,
你听到了吗,你聽到了嗎,nǐ tīngdào le ma,Did you hear it?,,
对吗,對嗎,duì ma,Right?; Correct?,,
奶奶,奶奶,nǎinai,Grandma (paternal),,
当然不是,當然不是,dāngrán bú shì,Of course not,,
在哪,在哪,zài nǎ,Where?,,
好的,好的,hǎo de,OK!; All right!,,
你在哪,你在哪,nǐ zài nǎ,Where are you?,,
胡说,胡說,húshuō,Nonsense,,
弗兰克,弗蘭克,Fúlánkè,Frank (name),,
现在,現在,xiànzài,Now!,,
白痴,白痴,báichī,Idiot,,
杀了他,殺了他,shā le tā,Kill him,,
搞什么,搞什麼,gǎo shénme,What the heck?,,
你们,你們,nǐmen...,You (plural)...,,
你明白吗,你明白嗎,nǐ míngbai ma,Do you understand?,,
现在,現在,xiànzài,Now?,,
怎么办,怎麼辦,zěnme bàn,What to do?; What should (we) do?,,
成功了,成功了,chénggōng le,Succeeded; It worked,,
在哪里,在哪裡,zài nǎlǐ,Where?,,
嗯,嗯,èn,Mm!; Uh-huh!,,
大人,大人,dàrén,Adult; sir (archaic honorific),,
那里,那裡,nàlǐ,There,,
哈,哈,hā,Ha!,,
看到了吗,看到了嗎,kàndào le ma,Did you see it?,,
先生们,先生們,xiānshengmen,Gentlemen,,
啊哈,啊哈,āhā,Aha!,,
我不要,我不要,wǒ bú yào,I don’t want (it),,
你,你,nǐ,You?,,
妈妈,媽媽,māma,Mom,,
再来,再來,zài lái,Another one; come again,,
我可以,我可以,wǒ kěyǐ,I can; I may,,
妈的,媽的,mā de,Damn.,,
诶,誒,éi,Hey; eh,,
没有啊,沒有啊,méiyǒu a,No; I don’t have,,
不要啊,不要啊,bú yào a,Don’t (do that),,
你想要什么,你想要什麼,nǐ xiǎng yào shénme,What do you want?,,
过来,過來,guò lái,Come here/over,,
我不知道你在说什么,我不知道你在說什麼,wǒ bù zhīdào nǐ zài shuō shénme,I don’t know what you’re talking about,,
干,幹,gàn,F***!; Damn!,,
吉米,吉米,Jímǐ,Jimmy,,
