说,說,shuō,to say; to speak,,
保重,保重,bǎo zhòng,take care,,
啥,啥,shá,what (colloquial),,
不不不,不不不,bù bù bù,"no, no, no",,
趴下,趴下,pā xià,get down; lie down,,
哈罗,哈囉,hā luó,hello,,
大卫,大衛,dà wèi,David (name),,
走了,走了,zǒu le,leaving; left,,
别碰我,別碰我,bié pèng wǒ,don't touch me,,
马上,馬上,mǎ shàng,immediately; right away,,
很好,很好,hěn hǎo,very good,,
站住,站住,zhàn zhù,stop; halt,,
上,上,shàng,up; on; to go up,,
抓住他,抓住他,zhuā zhù tā,grab him,,
滚,滾,gǔn,get lost; roll,,
来吧,來吧,lái ba,come on,,
好痛,好痛,hǎo tòng,it hurts; very painful,,
哎呀,哎呀,āi yā,oh!; ouch!,,
明天见,明天見,míng tiān jiàn,see you tomorrow,,
我马上回来,我馬上回來,wǒ mǎ shàng huí lái,I'll be right back,,
其实,其實,qí shí,actually; in fact,,
我去,我去,wǒ qù,I'm going; darn (slang),,
我操,我操,wǒ cāo,f*** (vulgar),,
死了,死了,sǐ le,dead; to death (intensifier),,
彼得,彼得,bǐ dé,Peter (name),,
准备,準備,zhǔn bèi,to prepare,,
明天,明天,míng tiān,tomorrow,,
我爱你,我愛你,wǒ ài nǐ,I love you,,
真好,真好,zhēn hǎo,really good; great,,
那是谁,那是誰,nà shì shéi,who is that?,,
我觉得,我覺得,wǒ jué de,I think; I feel,,
怎么会,怎麼會,zěn me huì,how could that be,,
我不是,我不是,wǒ bú shì,I am not,,
哈啰,哈囉,hā luō,hello,,
恭喜你,恭喜你,gōng xǐ nǐ,congratulations,,
醒醒,醒醒,xǐng xǐng,wake up,,
将军,將軍,jiāng jūn,general; checkmate (chess),,
圣诞快乐,聖誕快樂,shèng dàn kuài lè,Merry Christmas,,
我同意,我同意,wǒ tóng yì,I agree,,
他们,他們,tā men,they; them,,
哼,哼,hēng,hmph,,
进去,進去,jìn qù,go in; enter,,
救我,救我,jiù wǒ,save me; help me,,
莎拉,莎拉,shā lā,Sarah (name),,
滚出去,滾出去,gǔn chū qù,get out,,
不好,不好,bù hǎo,not good,,
开始吧,開始吧,kāi shǐ ba,let's begin,,
没关系的,沒關係的,méi guān xi de,it's okay; no problem,,
太棒了,太棒了,tài bàng le,awesome; great,,
真是,真是,zhēn shì,really; truly,,
