哎,哎,āi,hey; ah,,
我喜欢,我喜歡,wǒ xǐhuan,I like,,
你疯了,你瘋了,nǐ fēng le,you're crazy,,
你在干嘛,你在幹嘛,nǐ zài gàn ma?,what are you doing?,,
准备好了吗,準備好了嗎,zhǔnbèi hǎo le ma,are you ready?,,
找到了,找到了,zhǎodào le,found it,,
你什么意思,你什麼意思,nǐ shénme yìsi?,what do you mean?,,
是真的,是真的,shì zhēn de,it's true,,
我走了,我走了,wǒ zǒu le,I'm leaving,,
我来了,我來了,wǒ lái le,I'm coming,,
再见,再見,zàijiàn,goodbye,,
是你,是你,shì nǐ,it's you,,
你在做什么,你在做什麼,nǐ zài zuò shénme?,what are you doing?,,
不对,不對,bù duì,not right; incorrect,,
你疯了吗,你瘋了嗎,nǐ fēng le ma?,are you crazy?,,
抱歉,抱歉,bàoqiàn,sorry,,
你要去哪里,你要去哪裡,nǐ yào qù nǎlǐ?,where are you going?,,
进来吧,進來吧,jìnlái ba,come in,,
那好吧,那好吧,nà hǎo ba,alright then,,
原来如此,原來如此,yuánlái rúcǐ,I see; so that's it,,
停,停,tíng!,stop!,,
对吧,對吧,duì ba,right?; isn't it?,,
救命啊,救命啊,jiùmìng a,help!,,
知道吗,知道嗎,zhīdào ma?,do you know?,,
哇,哇,wā.,wow.,,
干得好,幹得好,gàn de hǎo,well done; good job,,
知道吗,知道嗎,zhīdào ma?,do you know?,,
唔,唔,wú,um; hmm,,
你叫什么名字,你叫什麼名字,nǐ jiào shénme míngzi?,what's your name?,,
大哥,大哥,dàgē,big brother; bro,,
混蛋,混蛋,húndàn!,bastard!; jerk!,,
明白吗,明白嗎,míngbai ma?,do you understand?,,
还有,還有,hái yǒu,also; in addition,,
等一等,等一等,děng yī děng,wait a moment,,
哥哥,哥哥,gēge,older brother,,
你疯了吗,你瘋了嗎,nǐ fēng le ma?,are you crazy?,,
怎么了,怎麼了,zěnme le?,what's wrong?; what happened?,,
没错,沒錯,méi cuò!,that's right!,,
走开,走開,zǒu kāi!,go away!,,
我不,我不,wǒ bù...,I don't...,,
糟糕,糟糕,zāogāo,awful; crap,,
不不,不不,"bù, bù","no, no",,
呵呵,呵呵,hēhē.,hehe.,,
好吧,好吧,hǎo ba!,okay then!,,
发生什么事了,發生什麼事了,fāshēng shénme shì le?,what happened?,,
加油,加油,jiāyóu!,come on!; keep it up!,,
天哪,天哪,tiān na!,oh my!,,
在这里,在這裡,zài zhèlǐ,here,,
上车,上車,shàng chē,get in the car; board,,
什么时候,什麼時候,shénme shíhou?,when?,,
